"","C1.vs..C2...Affy","C1.vs..C2...Gene","C1.vs..C4...Affy","C1.vs..C4...Gene","C1.vs..C5...Affy","C1.vs..C5...Gene","C2.vs..C4...Affy","C2.vs..C4...Gene","C2.vs..C5...Affy","C2.vs..C5...Gene","C4.vs..C5...Affy","C4.vs..C5...Gene"
"109","235733_at","SORBS1","36030_at","IGF1","212063_at","KDELR3","204897_at","ADH1B","213193_x_at","MFSD2B","204770_at","MPP7"
"110","231130_at","DDIT4L","228481_at","PALM2-AKAP2","219386_s_at","MAFB","226219_at","ADAMDEC1","221581_s_at","FKBP1B","228740_at","RECK"
"111","226777_at","ADAM12","228367_at","CCR5","205798_at","FERMT3","229670_at","CD274","203645_s_at","C19orf66","203298_s_at","SNN"
"112","229271_x_at","PAPPA","225782_at","SVEP1","212489_at","SLC34A2","1554240_a_at","RNASE6","224356_x_at","MAFB","211991_s_at","NLGN4X"
"113","210139_s_at","PTRF","218854_at","MEGF10","214770_at","COLEC12","202953_at","CDH11","204116_at","FERMT3","221958_s_at","EMX2"
"114","222101_s_at","PLK2","207172_s_at","HAS2","222670_s_at","ICAM1","218404_at","NCF4","229391_s_at","SLC34A2","211700_s_at","LDLR"
"115","239286_at","COL4A5","226136_at","TGFBI","224451_x_at","MYOF","226459_at","C5AR1","1555756_a_at","CLUL1","224189_x_at","DDX25"
"116","226677_at","NPNT","223276_at","NRK","201105_at","NCRNA00284","226695_at","ANTXR2","203761_at","ICAM1","223496_s_at","STS"
"117","226930_at","PMEPA1","201438_at","FBN2","219666_at","EPB41L3","229937_x_at","FYB","211581_x_at","SCGB2A1","226590_at","MAP1B"
"118","227566_at","GPX8","227399_at","PLXDC1","218559_s_at","SLC41A2","204222_s_at","CSF2RB","219385_at","ASRGL1","201954_at","UBE2L6"
"119","202283_at","ALPK2","203603_s_at","SPOCK1","201744_s_at","IFT81","229723_at","BASP1","229625_at","ICAM3","202180_s_at","DUSP6"
"120","207172_s_at","NBL1","209732_at","GLT8D2","211366_x_at","LAMA1","224451_x_at","GMFG","1555852_at","EPB41L3","219740_at","HPSE"
"121","37005_at","PDLIM5","221898_at","FCGR1C","203473_at","PDE4A","225646_at","ADAM12","208894_at","SLC41A2","225660_at","GLIS2"
"122","222288_at","SULF2","203570_at","LPAR1","223620_at","RAB31","211795_s_at","DAB2","229390_at","IFT81","211535_s_at","EVI2B"
"123","225275_at","TUBB2A","235629_at","CHSY3","205270_s_at","FAM38B","210164_at","EMP3","202833_s_at","LAMA1","223575_at","EVI2A"
"124","201744_s_at","PDGFRA","204463_s_at","F2R","235458_at","TUBB6","203922_s_at","LYZ","213566_at","RAB31","1566342_at","NANOS1"
"125","1554127_s_at","CXCL12","212423_at","COL27A1","204236_at","NUAK1","211776_s_at","PTGER4","210176_at","C11orf61","207822_at","HLA-C"
"126","213764_s_at","DSEL","207173_x_at","NAP1L3","226621_at","PSMB10","211902_x_at","HTR2B","242907_at","PSME2P2","211990_at","RPS20P22"
"127","209360_s_at","AOC3","208789_at","ADAMTS2","213139_at","C18orf1","203473_at","IL2RB","204279_at","PSMB10","226814_at","GABBR1"
"128","206227_at","CILP","205479_s_at","LTBP2","230391_at","BEX1","214467_at","ENTPD1","228869_at","BEX1","212268_at","HLA-B"
"129","227660_at","TMEM158","238852_at","BHLHE22","204254_s_at","ABHD3","201720_s_at","RAC2","201137_s_at","L3MBTL1","226345_at","UBD"
"130","203562_at","ALDH1A2","227235_at","CTHRC1","203645_s_at","LYSMD2","205821_at","CD37","222592_s_at","ABHD3","207375_s_at","HLA-G"
"131","213765_at","IGDCC4","238617_at","INPP4B","201137_s_at","LAMA3","209474_s_at","GZMK","227346_at","APOBEC3A","1552703_s_at","ARNT2"
"132","201621_at","SH3PXD2A","243864_at","FSCN1","227135_at","PCDH7","202902_s_at","GZMA","211990_at","LYSMD2","227001_at","PRTFDC1"
"133","209621_s_at","DACT1","212419_at","SRPX2","208894_at","P4HA2","201721_s_at","TGFB1","203104_at","APOBEC3B","227080_at","ASS1"
"134","217762_s_at","CD38","218468_s_at","PRSS21","208981_at","ARAP2","207651_at","TLR4","213733_at","ARAP2","225645_at","SPRY1"
"135","214043_at","RUNX1","229802_at","VIM","226474_at","DIO2","206978_at","BLNK","223280_x_at","BTBD11","206271_at","TGM1"
"136","233611_at","IQCA1","236179_at","MRC1L1","204122_at","SLC15A3","213624_at","RHOH","207677_s_at","ZNF521","201649_at","EFS"
"137","226658_at","SFRP4","201109_s_at","ITGB2","226997_at","PPIC","203382_s_at","HAVCR2","207697_x_at","SLC15A3","212671_s_at","HLA-E"
"138","200974_at","GAS1","201278_at","MRC1","209083_at","APOBEC3G","221698_s_at","PDGFRA","216250_s_at","APOBEC3F","215028_at","JAM3"
"139","204463_s_at","CXCR7","200897_s_at","CYTH3","201963_at","ZFPM2","215806_x_at","CXCL12","219777_at","APOBEC3G","219670_at","ATP10B"
"140","219523_s_at","COL6A3","211067_s_at","PLXDC2","201720_s_at","XIST","230925_at","IGF1R","201954_at","CDH2","223449_at","FZD3"
