"","C1.vs..C2...Affy","C1.vs..C2...Gene","C1.vs..C4...Affy","C1.vs..C4...Gene","C1.vs..C5...Affy","C1.vs..C5...Gene","C2.vs..C4...Affy","C2.vs..C4...Gene","C2.vs..C5...Affy","C2.vs..C5...Gene","C4.vs..C5...Affy","C4.vs..C5...Gene"
"1113","AAAAAAAAAA","AAAAAAAAAA","215121_x_at","AAAAAAAAAA","225474_at","BICC1","AAAAAAAAAA","AAAAAAAAAA","221286_s_at","FBN3","AAAAAAAAAA","AAAAAAAAAA"
"1114","AAAAAAAAAA","AAAAAAAAAA","214836_x_at","AAAAAAAAAA","236131_at","HS3ST3B1","AAAAAAAAAA","AAAAAAAAAA","218747_s_at","UCP2","AAAAAAAAAA","AAAAAAAAAA"
"1115","AAAAAAAAAA","AAAAAAAAAA","204361_s_at","AAAAAAAAAA","224550_s_at","PMP22","AAAAAAAAAA","AAAAAAAAAA","226702_at","ARPC1A","AAAAAAAAAA","AAAAAAAAAA"
"1116","AAAAAAAAAA","AAAAAAAAAA","215379_x_at","AAAAAAAAAA","235103_at","FAM26F","AAAAAAAAAA","AAAAAAAAAA","223475_at","ARPC1B","AAAAAAAAAA","AAAAAAAAAA"
"1117","AAAAAAAAAA","AAAAAAAAAA","216401_x_at","AAAAAAAAAA","212242_at","CD44","AAAAAAAAAA","AAAAAAAAAA","1559425_at","IL6R","AAAAAAAAAA","AAAAAAAAAA"
"1118","AAAAAAAAAA","AAAAAAAAAA","209138_x_at","AAAAAAAAAA","203642_s_at","C13orf18","AAAAAAAAAA","AAAAAAAAAA","204112_s_at","LXN","AAAAAAAAAA","AAAAAAAAAA"
"1119","AAAAAAAAAA","AAAAAAAAAA","225016_at","AAAAAAAAAA","206230_at","IL1RN","AAAAAAAAAA","AAAAAAAAAA","227019_at","DUSP10","AAAAAAAAAA","AAAAAAAAAA"
"1120","AAAAAAAAAA","AAAAAAAAAA","1557051_s_at","AAAAAAAAAA","224856_at","TNNI1","AAAAAAAAAA","AAAAAAAAAA","211635_x_at","CCDC80","AAAAAAAAAA","AAAAAAAAAA"
"1121","AAAAAAAAAA","AAAAAAAAAA","217378_x_at","AAAAAAAAAA","201425_at","FLRT3","AAAAAAAAAA","AAAAAAAAAA","226610_at","SLC16A3","AAAAAAAAAA","AAAAAAAAAA"
"1122","AAAAAAAAAA","AAAAAAAAAA","229437_at","AAAAAAAAAA","235592_at","MEST","AAAAAAAAAA","AAAAAAAAAA","228882_at","SAA2","AAAAAAAAAA","AAAAAAAAAA"
"1123","AAAAAAAAAA","AAAAAAAAAA","228642_at","AAAAAAAAAA","202888_s_at","VAV1","AAAAAAAAAA","AAAAAAAAAA","211732_x_at","RARRES1","AAAAAAAAAA","AAAAAAAAAA"
"1124","AAAAAAAAAA","AAAAAAAAAA","202619_s_at","AAAAAAAAAA","205907_s_at","ID4","AAAAAAAAAA","AAAAAAAAAA","226576_at","SAA1","AAAAAAAAAA","AAAAAAAAAA"
"1125","AAAAAAAAAA","AAAAAAAAAA","209487_at","AAAAAAAAAA","209696_at","PDXK","AAAAAAAAAA","AAAAAAAAAA","227498_at","MFSD1","AAAAAAAAAA","AAAAAAAAAA"
"1126","AAAAAAAAAA","AAAAAAAAAA","209655_s_at","AAAAAAAAAA","204430_s_at","MMP7","AAAAAAAAAA","AAAAAAAAAA","233300_at","SECTM1","AAAAAAAAAA","AAAAAAAAAA"
"1127","AAAAAAAAAA","AAAAAAAAAA","222932_at","AAAAAAAAAA","208790_s_at","LRP6","AAAAAAAAAA","AAAAAAAAAA","231310_at","TNFRSF1B","AAAAAAAAAA","AAAAAAAAAA"
"1128","AAAAAAAAAA","AAAAAAAAAA","222108_at","AAAAAAAAAA","202796_at","GPR171","AAAAAAAAAA","AAAAAAAAAA","238299_at","MYO1F","AAAAAAAAAA","AAAAAAAAAA"
"1129","AAAAAAAAAA","AAAAAAAAAA","202149_at","AAAAAAAAAA","201149_s_at","NFKBIZ","AAAAAAAAAA","AAAAAAAAAA","223565_at","EFNA4","AAAAAAAAAA","AAAAAAAAAA"
"1130","AAAAAAAAAA","AAAAAAAAAA","226388_at","AAAAAAAAAA","33304_at","SEMA6A","AAAAAAAAAA","AAAAAAAAAA","227892_at","DHRS3","AAAAAAAAAA","AAAAAAAAAA"
"1131","AAAAAAAAAA","AAAAAAAAAA","209122_at","AAAAAAAAAA","236313_at","IL18BP","AAAAAAAAAA","AAAAAAAAAA","228055_at","MUC1","AAAAAAAAAA","AAAAAAAAAA"
"1132","AAAAAAAAAA","AAAAAAAAAA","242907_at","AAAAAAAAAA","228726_at","ECM1","AAAAAAAAAA","AAAAAAAAAA","201564_s_at","SRSF12","AAAAAAAAAA","AAAAAAAAAA"
"1133","AAAAAAAAAA","AAAAAAAAAA","218589_at","AAAAAAAAAA","209612_s_at","P2RY13","AAAAAAAAAA","AAAAAAAAAA","241314_at","BOC","AAAAAAAAAA","AAAAAAAAAA"
"1134","AAAAAAAAAA","AAAAAAAAAA","241457_at","AAAAAAAAAA","212419_at","SOX6","AAAAAAAAAA","AAAAAAAAAA","223496_s_at","KIAA1549","AAAAAAAAAA","AAAAAAAAAA"
"1135","AAAAAAAAAA","AAAAAAAAAA","211644_x_at","AAAAAAAAAA","216899_s_at","ANKRD45","AAAAAAAAAA","AAAAAAAAAA","224048_at","LGSN","AAAAAAAAAA","AAAAAAAAAA"
"1136","AAAAAAAAAA","AAAAAAAAAA","228057_at","AAAAAAAAAA","240665_at","APOL6","AAAAAAAAAA","AAAAAAAAAA","208949_s_at","OBSL1","AAAAAAAAAA","AAAAAAAAAA"
"1137","AAAAAAAAAA","AAAAAAAAAA","227410_at","AAAAAAAAAA","229225_at","ALCAM","AAAAAAAAAA","AAAAAAAAAA","235292_at","FKBP11","AAAAAAAAAA","AAAAAAAAAA"
"1138","AAAAAAAAAA","AAAAAAAAAA","217388_s_at","AAAAAAAAAA","203058_s_at","SDK2","AAAAAAAAAA","AAAAAAAAAA","201487_at","ZC3HAV1","AAAAAAAAAA","AAAAAAAAAA"
"1139","AAAAAAAAAA","AAAAAAAAAA","201041_s_at","AAAAAAAAAA","215946_x_at","EPAS1","AAAAAAAAAA","AAAAAAAAAA","224964_s_at","TMEM108","AAAAAAAAAA","AAAAAAAAAA"
"1140","AAAAAAAAAA","AAAAAAAAAA","242945_at","AAAAAAAAAA","205114_s_at","CTSS","AAAAAAAAAA","AAAAAAAAAA","236635_at","TBXAS1","AAAAAAAAAA","AAAAAAAAAA"
"1141","AAAAAAAAAA","AAAAAAAAAA","204563_at","AAAAAAAAAA","227480_at","CTSK","AAAAAAAAAA","AAAAAAAAAA","238544_at","PARP12","AAAAAAAAAA","AAAAAAAAAA"
"1142","AAAAAAAAAA","AAAAAAAAAA","226225_at","AAAAAAAAAA","213238_at","MMP13","AAAAAAAAAA","AAAAAAAAAA","205282_at","DOCK10","AAAAAAAAAA","AAAAAAAAAA"
"1143","AAAAAAAAAA","AAAAAAAAAA","215304_at","AAAAAAAAAA","226535_at","MGLL","AAAAAAAAAA","AAAAAAAAAA","242127_at","IRS1","AAAAAAAAAA","AAAAAAAAAA"
"1144","AAAAAAAAAA","AAAAAAAAAA","204273_at","AAAAAAAAAA","205606_at","C16orf54","AAAAAAAAAA","AAAAAAAAAA","242539_at","CCL20","AAAAAAAAAA","AAAAAAAAAA"
"1145","AAAAAAAAAA","AAAAAAAAAA","209243_s_at","AAAAAAAAAA","1555724_s_at","DCBLD1","AAAAAAAAAA","AAAAAAAAAA","204981_at","WDR54","AAAAAAAAAA","AAAAAAAAAA"
"1146","AAAAAAAAAA","AAAAAAAAAA","228640_at","AAAAAAAAAA","231310_at","RABGAP1L","AAAAAAAAAA","AAAAAAAAAA","216853_x_at","SP110","AAAAAAAAAA","AAAAAAAAAA"
"1147","AAAAAAAAAA","AAAAAAAAAA","234764_x_at","AAAAAAAAAA","225646_at","ABCC3","AAAAAAAAAA","AAAAAAAAAA","228017_s_at","SP140","AAAAAAAAAA","AAAAAAAAAA"
"1148","AAAAAAAAAA","AAAAAAAAAA","205681_at","AAAAAAAAAA","209596_at","SLC2A5","AAAAAAAAAA","AAAAAAAAAA","236032_at","SP140L","AAAAAAAAAA","AAAAAAAAAA"
"1149","AAAAAAAAAA","AAAAAAAAAA","201117_s_at","AAAAAAAAAA","202864_s_at","SAMD9","AAAAAAAAAA","AAAAAAAAAA","225173_at","SP100","AAAAAAAAAA","AAAAAAAAAA"
"1150","AAAAAAAAAA","AAAAAAAAAA","203817_at","AAAAAAAAAA","204361_s_at","TNFAIP8","AAAAAAAAAA","AAAAAAAAAA","233398_at","MFAP2","AAAAAAAAAA","AAAAAAAAAA"
"1151","AAAAAAAAAA","AAAAAAAAAA","210072_at","AAAAAAAAAA","233109_at","NIPAL2","AAAAAAAAAA","AAAAAAAAAA","224342_x_at","KMO","AAAAAAAAAA","AAAAAAAAAA"
"1152","AAAAAAAAAA","AAAAAAAAAA","216576_x_at","AAAAAAAAAA","221908_at","SAMD9L","AAAAAAAAAA","AAAAAAAAAA","223551_at","MIR155","AAAAAAAAAA","AAAAAAAAAA"
"1153","AAAAAAAAAA","AAAAAAAAAA","219850_s_at","AAAAAAAAAA","34210_at","LAMP3","AAAAAAAAAA","AAAAAAAAAA","241916_at","MIR21","AAAAAAAAAA","AAAAAAAAAA"
"1154","AAAAAAAAAA","AAAAAAAAAA","216207_x_at","AAAAAAAAAA","204939_s_at","APOL3","AAAAAAAAAA","AAAAAAAAAA","213038_at","MIR650","AAAAAAAAAA","AAAAAAAAAA"
"1155","AAAAAAAAAA","AAAAAAAAAA","225842_at","AAAAAAAAAA","243140_at","SPSB1","AAAAAAAAAA","AAAAAAAAAA","225645_at","MIR147B","AAAAAAAAAA","AAAAAAAAAA"
"1156","AAAAAAAAAA","AAAAAAAAAA","205442_at","AAAAAAAAAA","222651_s_at","MVP","AAAAAAAAAA","AAAAAAAAAA","227917_at","SNORA11E","AAAAAAAAAA","AAAAAAAAAA"
"1157","AAAAAAAAAA","AAAAAAAAAA","205114_s_at","AAAAAAAAAA","207781_s_at","KIAA0247","AAAAAAAAAA","AAAAAAAAAA","239017_at","SNORA11D","AAAAAAAAAA","AAAAAAAAAA"
"1158","AAAAAAAAAA","AAAAAAAAAA","201042_at","AAAAAAAAAA","219371_s_at","PLN","AAAAAAAAAA","AAAAAAAAAA","213361_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1159","AAAAAAAAAA","AAAAAAAAAA","242828_at","AAAAAAAAAA","225162_at","PIK3CG","AAAAAAAAAA","AAAAAAAAAA","206314_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1160","AAAAAAAAAA","AAAAAAAAAA","219773_at","AAAAAAAAAA","208949_s_at","PDLIM3","AAAAAAAAAA","AAAAAAAAAA","229273_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1161","AAAAAAAAAA","AAAAAAAAAA","229435_at","AAAAAAAAAA","226649_at","DPP10","AAAAAAAAAA","AAAAAAAAAA","205647_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1162","AAAAAAAAAA","AAAAAAAAAA","219463_at","AAAAAAAAAA","201012_at","LPAR6","AAAAAAAAAA","AAAAAAAAAA","215501_s_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1163","AAAAAAAAAA","AAAAAAAAAA","225288_at","AAAAAAAAAA","213197_at","ANGPTL2","AAAAAAAAAA","AAAAAAAAAA","213306_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1164","AAAAAAAAAA","AAAAAAAAAA","227812_at","AAAAAAAAAA","242056_at","AMIGO2","AAAAAAAAAA","AAAAAAAAAA","206247_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1165","AAAAAAAAAA","AAAAAAAAAA","235419_at","AAAAAAAAAA","213689_x_at","TFPI2","AAAAAAAAAA","AAAAAAAAAA","214791_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1166","AAAAAAAAAA","AAAAAAAAAA","208396_s_at","AAAAAAAAAA","202007_at","MGP","AAAAAAAAAA","AAAAAAAAAA","238651_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1167","AAAAAAAAAA","AAAAAAAAAA","217996_at","AAAAAAAAAA","1559425_at","KLHL6","AAAAAAAAAA","AAAAAAAAAA","214500_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1168","AAAAAAAAAA","AAAAAAAAAA","217480_x_at","AAAAAAAAAA","241314_at","COL1A2","AAAAAAAAAA","AAAAAAAAAA","239381_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1169","AAAAAAAAAA","AAAAAAAAAA","209406_at","AAAAAAAAAA","230961_at","ARHGDIB","AAAAAAAAAA","AAAAAAAAAA","224189_x_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1170","AAAAAAAAAA","AAAAAAAAAA","217157_x_at","AAAAAAAAAA","205624_at","IFITM2","AAAAAAAAAA","AAAAAAAAAA","217227_x_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1171","AAAAAAAAAA","AAAAAAAAAA","209301_at","AAAAAAAAAA","219800_s_at","IFITM1","AAAAAAAAAA","AAAAAAAAAA","1557688_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1172","AAAAAAAAAA","AAAAAAAAAA","219313_at","AAAAAAAAAA","200660_at","MAN1A1","AAAAAAAAAA","AAAAAAAAAA","202820_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1173","AAAAAAAAAA","AAAAAAAAAA","208937_s_at","AAAAAAAAAA","213553_x_at","TRIM22","AAAAAAAAAA","AAAAAAAAAA","221760_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1174","AAAAAAAAAA","AAAAAAAAAA","202291_s_at","AAAAAAAAAA","218332_at","FGL2","AAAAAAAAAA","AAAAAAAAAA","204513_s_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1175","AAAAAAAAAA","AAAAAAAAAA","1555497_a_at","AAAAAAAAAA","203028_s_at","ARHGAP9","AAAAAAAAAA","AAAAAAAAAA","237881_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1176","AAAAAAAAAA","AAAAAAAAAA","235978_at","AAAAAAAAAA","226431_at","TNFSF13B","AAAAAAAAAA","AAAAAAAAAA","229276_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1177","AAAAAAAAAA","AAAAAAAAAA","232361_s_at","AAAAAAAAAA","205542_at","ASTN1","AAAAAAAAAA","AAAAAAAAAA","206125_s_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1178","AAAAAAAAAA","AAAAAAAAAA","204548_at","AAAAAAAAAA","1555468_at","PION","AAAAAAAAAA","AAAAAAAAAA","237064_x_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1179","AAAAAAAAAA","AAAAAAAAAA","215946_x_at","AAAAAAAAAA","201645_at","SPATA17","AAAAAAAAAA","AAAAAAAAAA","202283_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1180","AAAAAAAAAA","AAAAAAAAAA","235044_at","AAAAAAAAAA","235046_at","PDGFD","AAAAAAAAAA","AAAAAAAAAA","241762_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1181","AAAAAAAAAA","AAAAAAAAAA","220177_s_at","AAAAAAAAAA","213797_at","SASH3","AAAAAAAAAA","AAAAAAAAAA","228607_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1182","AAAAAAAAAA","AAAAAAAAAA","202037_s_at","AAAAAAAAAA","208161_s_at","CALD1","AAAAAAAAAA","AAAAAAAAAA","205153_s_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1183","AAAAAAAAAA","AAAAAAAAAA","239710_at","AAAAAAAAAA","202446_s_at","PEG10","AAAAAAAAAA","AAAAAAAAAA","205715_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1184","AAAAAAAAAA","AAAAAAAAAA","227230_s_at","AAAAAAAAAA","205306_x_at","APOL2","AAAAAAAAAA","AAAAAAAAAA","203946_s_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1185","AAAAAAAAAA","AAAAAAAAAA","219454_at","AAAAAAAAAA","1554741_s_at","CD300A","AAAAAAAAAA","AAAAAAAAAA","223449_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1186","AAAAAAAAAA","AAAAAAAAAA","209242_at","AAAAAAAAAA","202458_at","ZCCHC24","AAAAAAAAAA","AAAAAAAAAA","210904_s_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1187","AAAAAAAAAA","AAAAAAAAAA","204914_s_at","AAAAAAAAAA","212543_at","CASP4","AAAAAAAAAA","AAAAAAAAAA","225803_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1188","AAAAAAAAAA","AAAAAAAAAA","206799_at","AAAAAAAAAA","1554195_a_at","GJA1","AAAAAAAAAA","AAAAAAAAAA","210942_s_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1189","AAAAAAAAAA","AAAAAAAAAA","211643_x_at","AAAAAAAAAA","209325_s_at","S100A10","AAAAAAAAAA","AAAAAAAAAA","236255_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1190","AAAAAAAAAA","AAAAAAAAAA","211657_at","AAAAAAAAAA","236523_at","S100A11","AAAAAAAAAA","AAAAAAAAAA","203184_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1191","AAAAAAAAAA","AAAAAAAAAA","226884_at","AAAAAAAAAA","238617_at","FGF1","AAAAAAAAAA","AAAAAAAAAA","227354_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1192","AAAAAAAAAA","AAAAAAAAAA","219197_s_at","AAAAAAAAAA","227253_at","APOL1","AAAAAAAAAA","AAAAAAAAAA","205943_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1193","AAAAAAAAAA","AAAAAAAAAA","229256_at","AAAAAAAAAA","226757_at","PKIB","AAAAAAAAAA","AAAAAAAAAA","205479_s_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1194","AAAAAAAAAA","AAAAAAAAAA","228750_at","AAAAAAAAAA","208147_s_at","PRKCDBP","AAAAAAAAAA","AAAAAAAAAA","200766_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1195","AAAAAAAAAA","AAAAAAAAAA","238481_at","AAAAAAAAAA","209324_s_at","LOX","AAAAAAAAAA","AAAAAAAAAA","206693_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1196","AAAAAAAAAA","AAAAAAAAAA","232568_at","AAAAAAAAAA","1557411_s_at","SMPDL3A","AAAAAAAAAA","AAAAAAAAAA","218847_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1197","AAAAAAAAAA","AAAAAAAAAA","1555745_a_at","AAAAAAAAAA","236521_at","TMEM140","AAAAAAAAAA","AAAAAAAAAA","213954_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1198","AAAAAAAAAA","AAAAAAAAAA","216491_x_at","AAAAAAAAAA","1553099_at","S100A8","AAAAAAAAAA","AAAAAAAAAA","244487_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1199","AAAAAAAAAA","AAAAAAAAAA","205242_at","AAAAAAAAAA","202510_s_at","S100A6","AAAAAAAAAA","AAAAAAAAAA","236331_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1200","AAAAAAAAAA","AAAAAAAAAA","210096_at","AAAAAAAAAA","208885_at","STXBP5","AAAAAAAAAA","AAAAAAAAAA","210397_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1201","AAAAAAAAAA","AAAAAAAAAA","229580_at","AAAAAAAAAA","222640_at","ARHGAP26","AAAAAAAAAA","AAAAAAAAAA","220393_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1202","AAAAAAAAAA","AAAAAAAAAA","205498_at","AAAAAAAAAA","228407_at","TMOD1","AAAAAAAAAA","AAAAAAAAAA","228086_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1203","AAAAAAAAAA","AAAAAAAAAA","223475_at","AAAAAAAAAA","204079_at","S100A2","AAAAAAAAAA","AAAAAAAAAA","212192_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1204","AAAAAAAAAA","AAAAAAAAAA","202489_s_at","AAAAAAAAAA","228608_at","VDR","AAAAAAAAAA","AAAAAAAAAA","203662_s_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1205","AAAAAAAAAA","AAAAAAAAAA","209374_s_at","AAAAAAAAAA","1564467_at","ZBED2","AAAAAAAAAA","AAAAAAAAAA","229091_s_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1206","AAAAAAAAAA","AAAAAAAAAA","211798_x_at","AAAAAAAAAA","235733_at","S100A16","AAAAAAAAAA","AAAAAAAAAA","230290_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1207","AAAAAAAAAA","AAAAAAAAAA","200953_s_at","AAAAAAAAAA","211339_s_at","C11orf96","AAAAAAAAAA","AAAAAAAAAA","220168_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1208","AAAAAAAAAA","AAAAAAAAAA","234366_x_at","AAAAAAAAAA","231240_at","SH3TC1","AAAAAAAAAA","AAAAAAAAAA","219800_s_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1209","AAAAAAAAAA","AAAAAAAAAA","204437_s_at","AAAAAAAAAA","209555_s_at","CASP1","AAAAAAAAAA","AAAAAAAAAA","235151_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1210","AAAAAAAAAA","AAAAAAAAAA","206134_at","AAAAAAAAAA","227961_at","COL2A1","AAAAAAAAAA","AAAAAAAAAA","202196_s_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1211","AAAAAAAAAA","AAAAAAAAAA","205157_s_at","AAAAAAAAAA","230179_at","COL6A6","AAAAAAAAAA","AAAAAAAAAA","238865_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1212","AAAAAAAAAA","AAAAAAAAAA","225895_at","AAAAAAAAAA","218502_s_at","GADD45B","AAAAAAAAAA","AAAAAAAAAA","244548_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1213","AAAAAAAAAA","AAAAAAAAAA","1568604_a_at","AAAAAAAAAA","220393_at","TLR3","AAAAAAAAAA","AAAAAAAAAA","201425_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1214","AAAAAAAAAA","AAAAAAAAAA","238878_at","AAAAAAAAAA","220979_s_at","CARD16","AAAAAAAAAA","AAAAAAAAAA","228925_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1215","AAAAAAAAAA","AAAAAAAAAA","225381_at","AAAAAAAAAA","204567_s_at","PHLDB2","AAAAAAAAAA","AAAAAAAAAA","202436_s_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1216","AAAAAAAAAA","AAAAAAAAAA","211637_x_at","AAAAAAAAAA","228523_at","FBXO6","AAAAAAAAAA","AAAAAAAAAA","218345_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1217","AAAAAAAAAA","AAAAAAAAAA","203757_s_at","AAAAAAAAAA","211744_s_at","CMAH","AAAAAAAAAA","AAAAAAAAAA","227235_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1218","AAAAAAAAAA","AAAAAAAAAA","225165_at","AAAAAAAAAA","208540_x_at","CHI3L1","AAAAAAAAAA","AAAAAAAAAA","203628_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1219","AAAAAAAAAA","AAAAAAAAAA","228592_at","AAAAAAAAAA","234764_x_at","CD36","AAAAAAAAAA","AAAAAAAAAA","238649_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1220","AAAAAAAAAA","AAAAAAAAAA","212592_at","AAAAAAAAAA","235086_at","NR3C1","AAAAAAAAAA","AAAAAAAAAA","218400_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1221","AAAAAAAAAA","AAAAAAAAAA","234884_x_at","AAAAAAAAAA","202619_s_at","XAF1","AAAAAAAAAA","AAAAAAAAAA","213446_s_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1222","AAAAAAAAAA","AAAAAAAAAA","207002_s_at","AAAAAAAAAA","217523_at","HEY2","AAAAAAAAAA","AAAAAAAAAA","228955_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1223","AAAAAAAAAA","AAAAAAAAAA","227623_at","AAAAAAAAAA","233555_s_at","FBN3","AAAAAAAAAA","AAAAAAAAAA","231956_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1224","AAAAAAAAAA","AAAAAAAAAA","241017_at","AAAAAAAAAA","209626_s_at","ARPC1A","AAAAAAAAAA","AAAAAAAAAA","229437_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1225","AAAAAAAAAA","AAAAAAAAAA","215214_at","AAAAAAAAAA","210321_at","SEMA3C","AAAAAAAAAA","AAAAAAAAAA","230596_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1226","AAAAAAAAAA","AAAAAAAAAA","214803_at","AAAAAAAAAA","206100_at","ARPC1B","AAAAAAAAAA","AAAAAAAAAA","206641_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1227","AAAAAAAAAA","AAAAAAAAAA","230482_at","AAAAAAAAAA","217757_at","CACNA2D1","AAAAAAAAAA","AAAAAAAAAA","223523_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1228","AAAAAAAAAA","AAAAAAAAAA","214916_x_at","AAAAAAAAAA","211701_s_at","NID1","AAAAAAAAAA","AAAAAAAAAA","212999_x_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1229","AAAAAAAAAA","AAAAAAAAAA","209795_at","AAAAAAAAAA","209723_at","KCNN3","AAAAAAAAAA","AAAAAAAAAA","211668_s_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1230","AAAAAAAAAA","AAAAAAAAAA","212224_at","AAAAAAAAAA","223454_at","TUBA4A","AAAAAAAAAA","AAAAAAAAAA","221908_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1231","AAAAAAAAAA","AAAAAAAAAA","209318_x_at","AAAAAAAAAA","232478_at","LXN","AAAAAAAAAA","AAAAAAAAAA","205780_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1232","AAAAAAAAAA","AAAAAAAAAA","229012_at","AAAAAAAAAA","232935_at","DUSP10","AAAAAAAAAA","AAAAAAAAAA","204942_s_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
"1233","AAAAAAAAAA","AAAAAAAAAA","214945_at","AAAAAAAAAA","212657_s_at","CCDC80","AAAAAAAAAA","AAAAAAAAAA","206706_at","AAAAAAAAAA","AAAAAAAAAA","AAAAAAAAAA"
